,Title,BodyPart,Image,Icon
1,Barbell Bench Press,Chest,Barbell-Bench-Press.webp,Barbell-Bench-Press-icon.png
2,Incline Dumbbell Bench Press,Chest,Incline-Dumbbell-Bench-Press.webp,Incline-Dumbbell-Bench-Press-icon.png
3,Peck Deck,Chest,Peck-Deck.webp,Peck-Deck-icon.png
4,Cable Crossover,Chest,Cable-Crossover.webp,Cable-Crossover-icon.png
5,Incline Barbell Bench Press,Chest,Incline-Barbell-Bench-Press.webp,Incline-Barbell-Bench-Press-icon.png
6,Dumbbell Bench Press,Chest,Dumbbell-Bench-Press.webp,Dumbbell-Bench-Press-icon.png
7,Dumbbell Fly,Chest,Dumbbell-Fly.webp,Dumbbell-Fly-icon.png
8,Incline Dumbbell Fly,Chest,Incline-Dumbbell-Fly.webp,Incline-Dumbbell-Fly-icon.png
9,Chest Press Machine,Chest,Chest-Press-Machine.webp,Chest-Press-Machine-icon.png
10,Barbell Declined Bench Press,Chest,Barbell-Declined-Bench-Press.webp,Barbell-Declined-Bench-Press-icon.png
11,Dumbbell Declined Bench Press,Chest,Dumbbell-Declined-Bench-Press.webp,Dumbbell-Declined-Bench-Press-icon.png
12,Push Ups,Chest,Push-Ups.webp,Push-Ups-icon.png
13,Dumbbell Bent Over Row ,Back,Dumbbell-Bent-Over-Row.webp,Dumbbell-Bent-Over-Row-icon.png
14,Wide Grip Pulldown,Back,Wide-Grip-Pulldown.webp,Wide-Grip-Pulldown-icon.png
15,Seated Cable Row,Back,Seated-Cable-Row.webp,Seated-Cable-Row-icon.png
16,Close Grip Pulldown,Back,Close-Grip-Pulldown.webp,Close-Grip-Pulldown-icon.png
17,Barbell Row,Back,Barbell-Row.webp,Barbell-Row-icon.png
18,Behind Neck Pulldown,Back,Behind-Neck-Pulldown.webp,Behind-Neck-Pulldown-icon.png
19,Reverse Grip Pulldown,Back,Reverse-Grip-Pulldown.webp,Reverse-Grip-Pulldown-icon.png
20,Rope Pulldown,Back,Rope-Pulldown.webp,Rope-Pulldown-icon.png
21,T-Bar Rows,Back,T-Bar-Rows.webp,T-Bar-Rows-icon.png
22,Barbell Bent Over Rows,Back,Barbell-Bent-Over-Rows.webp,Barbell-Bent-Over-Rows-icon.png
23,Pull Up,Back,Pull-Up.webp,Pull-Up-icon.png
24,Behind the Neck Pull Up,Back,Behind-the-Neck-Pull-Up.webp,Behind-the-Neck-Pull-Up-icon.png
25,Pull Up with a Supinated Grip,Back,Pull-Up-with-a-Supinated-Grip.webp,Pull-Up-with-a-Supinated-Grip-icon.png
26,Straight Arm Lat Pulldown,Back,Straight-Arm-Lat-Pulldown.webp,Straight-Arm-Lat-Pulldown-icon.png
27,Dumbbell Bent Over Rows,Back,Dumbbell-Bent-Over-Rows.webp,Dumbbell-Bent-Over-Rows-icon.png
28,Dumbbell Pullover,Back,Dumbbell-Pullover.webp,Dumbbell-Pullover-icon.png
29,Barbell Pullover,Back,Barbell-Pullover.webp,Barbell-Pullover-icon.png
30,Barbell Deadlift,Back,Barbell-Deadlift.webp,Barbell-Deadlift-icon.png
31,Barbell Sumo Deadlift,Back,Barbell-Sumo-Deadlift.webp,Barbell-Sumo-Deadlift-icon.png
32,Trap Bar Deadlift,Back,Trap-Bar-Deadlift.webp,Trap-Bar-Deadlift-icon.png
33,Dumbbell Deadlift,Back,Dumbbell-Deadlift.webp,Dumbbell-Deadlift-icon.png
34,Barbell Shrug,Back,Barbell-Shrug.webp,Barbell-Shrug-icon.png
35,Dumbbell Shrugs,Back,Dumbbell-Shrugs.webp,Dumbbell-Shrugs-icon.png
36,Dumbbell Shoulder Press,Shoulders,Dumbbell-Shoulder-Press.webp,Dumbbell-Shoulder-Press-icon.png
37,Dumbbell Lateral Raise,Shoulders,Dumbbell-Lateral-Raise.webp,Dumbbell-Lateral-Raise-icon.png
38,Dumbbell Front Raise,Shoulders,Dumbbell-Front-Raise.webp,Dumbbell-Front-Raise-icon.png
39,High Cable Rear Delt Fly,Shoulders,High-Cable-Rear-Delt-Fly.webp,High-Cable-Rear-Delt-Fly-icon.png
40,Smith Machine Shoulder Press,Shoulders,Smith-Machine-Shoulder-Press.webp,Smith-Machine-Shoulder-Press-icon.png
41,Barbell Upright Row,Shoulders,Barbell-Upright-Row.webp,Barbell-Upright-Row-icon.png
42,Bent-Over Lateral Raise,Shoulders,Bent-Over-Lateral-Raise.webp,Bent-Over-Lateral-Raise-icon.png
43,Cable One-Arm Lateral Raise,Shoulders,Cable-One-Arm-Lateral-Raise.webp,Cable-One-Arm-Lateral-Raise-icon.png
44,Dumbbell Push Press,Shoulders,Dumbbell-Push-Press.webp,Dumbbell-Push-Press-icon.png
45,Barbell Push Press,Shoulders,Barbell-Push-Press.webp,Barbell-Push-Press-icon.png
46,Single-Arm Cable Front Raise,Shoulders,Single-Arm-Cable-Front-Raise.webp,Single-Arm-Cable-Front-Raise-icon.png
47,Barbell Front Raise,Shoulders,Barbell-Front-Raise.webp,Barbell-Front-Raise-icon.png
48,Seated Barbell Shoulder Press,Shoulders,Seated-Barbell-Shoulder-Press.webp,Seated-Barbell-Shoulder-Press-icon.png
49,Behind the Neck Shoulder Press,Shoulders,Behind-the-Neck-Shoulder-Press.webp,Behind-the-Neck-Shoulder-Press-icon.png
50,Standing Barbell Shoulder Press,Shoulders,Standing-Barbell-Shoulder-Press.webp,Standing-Barbell-Shoulder-Press-icon.png
51,Standing Behind the Neck Shoulder Press,Shoulders,Standing-Behind-the-Neck-Shoulder-Press.webp,Standing-Behind-the-Neck-Shoulder-Press-icon.png
52,Alternate Dumbbell Front Raise,Shoulders,Alternate-Dumbbell-Front-Raise.webp,Alternate-Dumbbell-Front-Raise-icon.png
53,One-Arm Low-Pulley Front Raise,Shoulders,One-Arm-Low-Pulley-Front-Raise.webp,One-Arm-Low-Pulley-Front-Raise-icon.png
54,Two-Handed Dumbbell Front Raise,Shoulders,Two-Handed-Dumbbell-Front-Raise.webp,Two-Handed-Dumbbell-Front-Raise-icon.png
55,Barbell Curl,Biceps,Barbell-Curl.webp,Barbell-Curl-icon.png
56,Alternating Dumbbell Curl,Biceps,Alternating-Dumbbell-Curl.webp,Alternating-Dumbbell-Curl-icon.png
57,Rope Cable Curl,Biceps,Rope-Cable-Curl.webp,Rope-Cable-Curl-icon.png
58,EZ Barbell Curl,Biceps,EZ-Barbell-Curl.webp,EZ-Barbell-Curl-icon.png
59,EZ Barbell Preacher Curl,Biceps,EZ-Barbell-Preacher-Curl.webp,EZ-Barbell-Preacher-Curl-icon.png
60,Hammer Curl,Biceps,Hammer-Curl.webp,Hammer-Curl-icon.png
61,Incline Dumbbell Curl,Biceps,Incline-Dumbbell-Curl.webp,Incline-Dumbbell-Curl-icon.png
62,Dumbbell Concentration Curl,Biceps,Dumbbell-Concentration-Curl.webp,Dumbbell-Concentration-Curl-icon.png
63,Single-Arm Low Pulley Cable Curl,Biceps,Single-Arm-Low-Pulley-Cable-Curl.webp,Single-Arm-Low-Pulley-Cable-Curl-icon.png
64,Straight Bar Low Pulley Cable Curl,Biceps,Straight-Bar-Low-Pulley-Cable-Curl.webp,Straight-Bar-Low-Pulley-Cable-Curl-icon.png
65,Standing High Pulley Cable Curl,Biceps,Standing-High-Pulley-Cable-Curl.webp,Standing-High-Pulley-Cable-Curl-icon.png
66,Seated Barbell Wrist Curl,Biceps,Seated-Barbell-Wrist-Curl.webp,Seated-Barbell-Wrist-Curl-icon.png
67,Seated Barbell Wrist Extension,Biceps,Seated-Barbell-Wrist-Extension.webp,Seated-Barbell-Wrist-Extension-icon.png
68,Reverse Barbell Curl,Biceps,Reverse-Barbell-Curl.webp,Reverse-Barbell-Curl-icon.png
69,Lying Triceps Extension,Triceps,Lying-Triceps-Extension.webp,Lying-Triceps-Extension-icon.png
70,Triceps Pressdown,Triceps,Triceps-Pressdown.webp,Triceps-Pressdown-icon.png
71,Cable Rope Pushdown,Triceps,Cable-Rope-Pushdown.webp,Cable-Rope-Pushdown-icon.png
72,Dumbbell Overhead Triceps Extension,Triceps,Dumbbell-Overhead-Triceps-Extension.webp,Dumbbell-Overhead-Triceps-Extension-icon.png
73,Close Grip Bench Press,Triceps,Close-Grip-Bench-Press.webp,Close-Grip-Bench-Press-icon.png
74,Kickback,Triceps,Kickback.webp,Kickback-icon.png
75,Reverse Grip Cable Triceps Extension,Triceps,Reverse-Grip-Cable-Triceps-Extension.webp,Reverse-Grip-Cable-Triceps-Extension-icon.png
76,Single-Arm Cable Triceps Extension,Triceps,Single-Arm-Cable-Triceps-Extension.webp,Single-Arm-Cable-Triceps-Extension-icon.png
77,Lying Dumbbell Triceps Extension,Triceps,Lying-Dumbbell-Triceps-Extension.webp,Lying-Dumbbell-Triceps-Extension-icon.png
78,Seated Barbell French Press,Triceps,Seated-Barbell-French-Press.webp,Seated-Barbell-French-Press-icon.png
79,Bench Dips,Triceps,Bench-Dips.webp,Bench-Dips-icon.png
80,Parallel Dip Bar,Triceps,Parallel-Dip-Bar.webp,Parallel-Dip-Bar-icon.png
81,Crunch,Abdominals,Crunch.webp,Crunch-icon.png
82,Oblique Crunch,Abdominals,Oblique-Crunch.webp,Oblique-Crunch-icon.png
83,Crunch Machine,Abdominals,Crunch-Machine.webp,Crunch-Machine-icon.png
84,Rope Ab Pulldown,Abdominals,Rope-Ab-Pulldown.webp,Rope-Ab-Pulldown-icon.png
85,Plank,Abdominals,Plank.webp,Plank-icon.png
86,Hanging Leg Raise,Abdominals,Hanging-Leg-Raise.webp,Hanging-Leg-Raise-icon.png
87,Bent Knee Reverse Crunch,Abdominals,Bent-Knee-Reverse-Crunch.webp,Bent-Knee-Reverse-Crunch-icon.png
88,Long Arm Crunch,Abdominals,Long-Arm-Crunch.webp,Long-Arm-Crunch-icon.png
89,Squat,Legs,Squat.webp,Squat-icon.png
90,Leg Press,Legs,Leg-Press.webp,Leg-Press-icon.png
91,Leg Extension,Legs,Leg-Extension.webp,Leg-Extension-icon.png
92,Lunge,Legs,Lunge.webp,Lunge-icon.png
93,Lying Leg Curl,Legs,Lying-Leg-Curl.webp,Lying-Leg-Curl-icon.png
94,Hack Squat,Legs,Hack-Squat.webp,Hack-Squat-icon.png
95,Seated Leg Curl,Legs,Seated-Leg-Curl.webp,Seated-Leg-Curl-icon.png
96,Single Leg Extension,Legs,Single-Leg-Extension.webp,Single-Leg-Extension-icon.png
97,Front Squat,Legs,Front-Squat.webp,Front-Squat-icon.png
98,Dumbbell Romanian Deadlift,Legs,Dumbbell-Romanian-Deadlift.webp,Dumbbell-Romanian-Deadlift-icon.png
99,Barbell Romanian Deadlift,Legs,Barbell-Romanian-Deadlift.webp,Barbell-Romanian-Deadlift-icon.png
100,Dumbbell Goblet Squat,Legs,Dumbbell-Goblet-Squat.webp,Dumbbell-Goblet-Squat-icon.png
101,Knee Tuck Jumps,Legs,Knee-Tuck-Jumps.webp,Knee-Tuck-Jumps-icon.png
102,Burpees,Legs,Burpees.webp,Burpees-icon.png
103,Bodyweight Squat,Legs,Bodyweight-Squat.webp,Bodyweight-Squat-icon.png
104,Medicine Ball Squat,Legs,Medicine-Ball-Squat.webp,Medicine-Ball-Squat-icon.png
105,Barbell Bulgarian Split Squat,Legs,Barbell-Bulgarian-Split-Squat.webp,Barbell-Bulgarian-Split-Squat-icon.png
106,Bodyweight Bulgarian Split Squat,Legs,Bodyweight-Bulgarian-Split-Squat.webp,Bodyweight-Bulgarian-Split-Squat-icon.png
107,Mini-Band Air Squat,Legs,Mini-Band-Air-Squat.webp,Mini-Band-Air-Squat-icon.png
108,Jump Squat,Legs,Jump-Squat.webp,Jump-Squat-icon.png
109,Wall Sit,Legs,Wall-Sit.webp,Wall-Sit-icon.png
110,Medicine Ball Deadlift,Legs,Medicine-Ball-Deadlift.webp,Medicine-Ball-Deadlift-icon.png
111,Single Leg Bodyweight Deadlift,Legs,Single-Leg-Bodyweight-Deadlift.webp,Single-Leg-Bodyweight-Deadlift-icon.png
112,Kettlebell Sumo Deadlift,Legs,Kettlebell-Sumo-Deadlift.webp,Kettlebell-Sumo-Deadlift-icon.png
113,Good Morning ,Legs,Good-Morning.webp,Good-Morning-icon.png
114,Bodyweight Glute Bridge,Legs,Bodyweight-Glute-Bridge.webp,Bodyweight-Glute-Bridge-icon.png
115,Single Leg Glute Bridge,Legs,Single-Leg-Glute-Bridge.webp,Single-Leg-Glute-Bridge-icon.png
116,Banded Glute Bridge,Legs,Banded-Glute-Bridge.webp,Banded-Glute-Bridge-icon.png
117,Duck Walk,Legs,Duck-Walk.webp,Duck-Walk-icon.png
118,Bird Dog,Legs,Bird-Dog.webp,Bird-Dog-icon.png
119,Groiners,Legs,Groiners.webp,Groiners-icon.png
120,Fire Hydrants,Legs,Fire-Hydrant.webp,Fire-Hydrant-icon.png
121,Smith Machine Hip Thrust,Legs,Smith-Machine-Hip-Thrust.webp,Smith-Machine-Hip-Thrust-icon.png
122,Barbell Hip Thrust,Legs,Barbell-Hip-Thrust.webp,Barbell-Hip-Thrust-icon.png
123,Band Seated Hip Abduction,Legs,Band-Seated-Hip-Abduction.webp,Band-Seated-Hip-Abduction-icon.png
124,Seated Hip Abduction Machine,Legs,Seated-Hip-Abduction-Machine.webp,Seated-Hip-Abduction-Machine-icon.png
125,Standing Cable Abduction,Legs,Standing-Cable-Abduction.webp,Standing-Cable-Abduction-icon.png
126,Bodyweight Frog Pump,Legs,Bodyweight-Frog-Pump.webp,Bodyweight-Frog-Pump-icon.png
127,Smith Machine Frog Pump,Legs,Smith-Machine-Frog-Pump.webp,Smith-Machine-Frog-Pump-icon.png
128,Banded Clams,Legs,Banded-Clams.webp,Banded-Clams-icon.png
129,Side Lying Leg Raise,Legs,Side-Lying-Leg-Raise.webp,Side-Lying-Leg-Raise-icon.png
130,Glute Ham Raise,Legs,Glute-Ham-Raise.webp,Glute-Ham-Raise-icon.png
131,Dumbbell Step Up,Legs,Dumbbell-Step-Up.webp,Dumbbell-Step-Up-icon.png
132,Lateral Mini-Band Walk,Legs,Mini-Band-Lateral-Walks.webp,Mini-Band-Lateral-Walks-icon.png
133,Standing Knee Raise,Legs,Standing-Knee-Raise.webp,Standing-Knee-Raise-icon.png
134,Kettlebell Swings,Legs,Kettlebell-Swing.webp,Kettlebell-Swing-icon.png
135,Standing Cable Kickback,Legs,Standing-Cable-Kickback.webp,Standing-Cable-Kickback-icon.png
136,Donkey Kicks,Legs,Donkey-Kicks.webp,Donkey-Kicks-icon.png
137,Side Lying Hip Raise,Legs,Side-Lying-Hip-Raise.webp,Side-Lying-Hip-Raise-icon.png
138,Squat Sit to Reach,Legs,Squat-Sit-to-Reach.webp,Squat-Sit-to-Reach-icon.png
139,Seated Calf Raise,Legs,Seated-Calf-Raise.webp,Seated-Calf-Raise-icon.png
140,Standing Calf Raise,Legs,Standing-Calf-Raise.webp,Standing-Calf-Raise-icon.png
